Point #,% of Design Load,"Net Capacity
kW","Input
kW","Cooling Efficiency
COP",Evaporator Fluid,Condenser Fluid,,,,,,,
,,,,,"Flow
l/s",,Temperature,"Pressure Drop
kPa","Flow
l/s",Temperature,"Pressure Drop
kPa",,
,,,,,,,"Entering
°C","Leaving
°C",,,"Entering
°C","Leaving
°C",
1,100,6600,1246,5.299,143.1,,16,5,28.3,338.7,30,36,84.8
2,90,5940,1110,5.354,143.1,,14.9,5,28.4,338.7,30,35.39,85.1
3,80,5280,984.4,5.364,143.1,,13.8,5,28.5,338.7,30,34.78,85.3
4,70,4620,871.9,5.299,143.1,,12.69,5,28.6,338.7,30,34.19,85.6
5,60,3960,770.5,5.14,143.1,,11.59,5,28.7,338.7,30,33.6,85.8
6,50,3300,523,6.31,143.1,,10.49,5,28.8,338.7,30,32.92,86.1
7,40,2640,422.1,6.254,143.1,,9.39,5,28.9,338.7,30,32.34,86.3
8,30,1980,336.3,5.888,143.1,,8.29,5,29,338.7,30,31.76,86.6
9,20,1320,260,5.076,143.1,,7.2,5,29.1,338.7,30,31.2,86.8
10,10,660,180.3,3.66,143.1,,6.1,5,29.2,338.7,30,30.62,87
